2021-10-19 05:06:48 INFO  Hooks:17 - Открываем сайт
2021-10-19 05:06:52 INFO  BasicPageDef:17 - Спустились во футер и нажали на '223-ФЗ->Поставщикам'
2021-10-19 05:06:55 INFO  SuppliersPageDef:16 - нажимаем 'Расширенный пойск'
2021-10-19 05:06:55 INFO  AdvancedPageDef:18 - Нажимаем на 'Настроить'
2021-10-19 05:06:57 INFO  ModalPage:132 - Искать в файлах - false, Точное соответствие - false, Исключить совместные закупки - true, Только МСП / СМП - false
2021-10-19 05:06:57 INFO  ModalPage:104 - 44-ФЗ - false, 223-ФЗ - false, 615-ПП РФ - true, Закупки малого объёма / РТС - МАРКЕТ - false, Коммерческие закупки (РТС-тендер) - false
2021-10-19 05:06:58 INFO  ModalPage:72 - Снимаем все галочки с 'СТАТУС'
2021-10-19 05:06:58 INFO  ModalPage:74 - Открываем секцию 'Регион поставки'
2021-10-19 05:06:58 INFO  ModalPage:76 - Сняли с поставки все регионы
2021-10-19 05:06:58 INFO  ModalPage:78 - Поставили галочку на Алтайский край
2021-10-19 05:06:59 INFO  ModalPage:27 - открываем коллапс секцию 'ФИЛЬТРЫ ПО ДАТАМ'
2021-10-19 05:07:00 INFO  ModalPage:33 - Устанавливаем дату начала, которая прописана в footerGoing.feature
2021-10-19 05:07:01 INFO  ModalPage:35 - Нажимаем энтер
2021-10-19 05:07:01 INFO  ModalPage:45 - формат dd-MM-yyyy нам ни к чему, нужен только день 'd'
2021-10-19 05:07:01 INFO  ModalPage:47 - нажимаем на цифрус нашим днем в календаре
2021-10-19 05:07:01 INFO  ModalPage:61 - Нажимаем большую кнопку НАЙТИ
2021-10-19 05:07:01 INFO  NotificationPage:22 - Ждем ответа сервера, ищем наличие кнопки
2021-10-19 05:07:01 INFO  NotificationPage:33 - Показываем больше результатов
2021-10-19 05:07:25 INFO  NotificationPage:57 - оказание услуг по осуществлению строительного контроля ----> 0,00 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов, являющихся объектами культурного наследия, выявленными объектами культурного наследия ----> 0,00 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов ----> 0,00 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - № ЭА09-СК-2021/22на право заключения договора на оказание услуг по осуществлению строительного контроля при выполнении капитального ремонта общего имущества многоквартирных домов на территории Алтайского края. ----> 1 000 450,33 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по оценке технического состояния, разработке проектной документации на проведение капитального ремонта общего имущества многоквартирных домов, являющихся объектами культурного наследия, выявленными объектами культурного наследия, в том числе на ремонт, замену, модернизацию лифтов, ремонт лифтовых шахт, машинных и блочных помещений ----> 0,00 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по оценке технического состояния многоквартирного дома, разработке проектной документации на проведение капитального ремонта общего имущества многоквартирных домов, в том числе на ремонт, замену, модернизацию лифтов, ремонт лифтовых шахт, машинных и блочных помещений ----> 0,00 ₽
2021-10-19 05:07:25 INFO  NotificationPage:57 - выполнение работ по оценке соответствия лифтов требованиям технического регламента Таможенного союза 011/2011 «Безопасность лифтов» (ТР ТС 011/2011), утвержденного решением Комиссии Таможенного союза от 18.10.2011 № 824 «О принятии технического регламента Таможенного союза «Безопасность лифтов» ----> 0,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по ремонту, замене, модернизации лифтов, ремонту лифтовых шахт, машинных и блочных помещений ----> 0,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - Электронный аукцион №ЭА02-ТОЛ-2021/22 на выполнение работ по оценке соответствия лифтов требованиям технического регламента Таможенного союза 011/2011 "Безопасность лифтов», (ТР ТС 011/2011), утвержденного решением Комиссии Таможенного союза от 18 октября 2011 г. N 824 "О принятии технического регламента Таможенного союза "Безопасность лифтов" ----> 1 153 722,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - Электронный аукцион № ЭА02-РЗЛ/ПСД/КР-2021/22 на право заключения договора по оценке технического состояния конструктивных элементов лифтовой шахты, разработке проектной документации на ремонт (замену, модернизацию) лифтов, выполнению работ по ремонту (замене, модернизации) лифтов, в многоквартирных домах на территории Алтайского края. ----> 89 939 582,33 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - оказание услуг по осуществлению строительного контроля ----> 0,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов, являющихся объектами культурного наследия, выявленными объектами культурного наследия ----> 0,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:57 - оказание услуг и (или) выполнение работ по капитальному ремонту общего имущества многоквартирных домов ----> 0,00 ₽
2021-10-19 05:07:26 INFO  NotificationPage:72 - Количество закупок: 3 шт.
2021-10-19 05:07:26 INFO  NotificationPageDef:17 - проходишь по всем закупкам и собираешь НАЧАЛЬНАЯ ЦЕНА и кол-во закупок
